Identifier;Marquee;sdp
camera.5805;C-58 0 Nus Trinitat;"v=0\no=- 16838 1253 IN IP4 10.137.227.205\ns=/camera-1\nc=IN IP4 239.137.227.205/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15004/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5806;C-58 0,5 Nus Trinitat;"v=0\no=- 16838 1253 IN IP4 10.137.227.206\ns=/camera-1\nc=IN IP4 239.137.227.206/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5807;C-58 1 Nus Trinitat;"v=0\no=- 16838 1253 IN IP4 10.137.227.207\ns=/camera-1\nc=IN IP4 239.137.227.207/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15006/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5808;C-58 1,1 Barcelona;"v=0\no=- 16838 1253 IN IP4 10.137.227.208\ns=/camera-1\nc=IN IP4 239.137.227.208/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5809;C-58 1,7 B. Nord Superior;"v=0\no=- 16838 1253 IN IP4 10.137.227.209\ns=/camera-1\nc=IN IP4 239.137.227.209/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5812;C-58 1,816 Montcada i Reixac;"v=0\no=- 16838 1253 IN IP4 10.137.227.212\ns=/camera-1\nc=IN IP4 239.137.227.212/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5814;C-58 3,5 Montcada i Reixac;"v=0\no=- 16838 1253 IN IP4 10.137.227.214\ns=/camera-1\nc=IN IP4 239.137.227.214/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5816;C-58 4 Montcada i Reixac;"v=0\no=- 16838 1253 IN IP4 10.137.227.216\ns=/camera-1\nc=IN IP4 239.137.227.216/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5817;C-58 4,2 Montcada i Reixac;"v=0\no=- 16838 1253 IN IP4 10.137.227.217\ns=/camera-1\nc=IN IP4 239.137.227.217/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5820;C-58 6,15 Ripollet;"v=0\no=- 16838 1253 IN IP4 10.137.227.220\ns=/camera-1\nc=IN IP4 239.137.227.220/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.5826;C-58 20,062 Terrassa;"v=0\no=- 16838 1253 IN IP4 10.137.229.136\ns=/camera-1\nc=IN IP4 239.137.229.136/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
